	z_coordinate_0	z_coordinate_1
359	0.1680566	0.07187031
360	0.16759944	0.071676925
361	0.1679736	0.07174219
362	0.16798624	0.07175656
363	0.16796859	0.07173769
364	0.16798744	0.071734175
365	0.16802296	0.07174553
366	0.16796215	0.07178797
367	0.16800691	0.07175319
368	0.16803497	0.071698114
369	0.16796419	0.071720645
370	0.16796935	0.07171576
371	0.16798744	0.07177006
372	0.16796356	0.07175775
373	0.16798308	0.071755305
374	0.1679793	0.07175417
375	0.16809762	0.071557894
376	0.1679354	0.07179095
377	0.16794424	0.07173933
378	0.16782029	0.07173239
379	0.16794291	0.07170315
380	0.1679497	0.071755424
381	0.16802117	0.07169373
382	0.16786873	0.07177995
383	0.16798218	0.07174267
384	0.16806783	0.07172291
385	0.16825232	0.071645126
386	0.16799258	0.07175632
387	0.16793147	0.07179047
388	0.16844714	0.071586475
389	0.16801412	0.071779475
390	0.16796352	0.07167928
391	0.16795015	0.0717337
392	0.16817303	0.07170905
393	0.16793892	0.07177137
394	0.16786858	0.07181297
395	0.1680508	0.07177915
396	0.16799553	0.07214396
397	0.16854021	0.07192172
398	0.16802792	0.07174678
399	0.16790198	0.07181509
400	0.16796377	0.07174523
401	0.16794723	0.07176204
402	0.16789946	0.071790084
403	0.16801445	0.07174869
404	0.16788152	0.07168569
405	0.16792297	0.071789846
406	0.1680248	0.071725294
407	0.16793227	0.071758494
408	0.1679605	0.0717646
409	0.16796139	0.071802095
410	0.16796258	0.07175468
411	0.16798256	0.07177128
412	0.16790462	0.071767434
413	0.16800052	0.07172446
414	0.16796525	0.07174878
415	0.16791928	0.071746066
416	0.16796845	0.07176159
417	0.16938072	0.071529046
418	0.16805904	0.071741745
419	0.16797794	0.07176988
420	0.16800086	0.07183732
421	0.16808802	0.07173003
422	0.16794991	0.0717638
423	0.16814667	0.07167478
424	0.16797452	0.071773335
425	0.16792428	0.07179062
426	0.16801453	0.07180376
427	0.16792826	0.071777955
428	0.16800883	0.07169522
429	0.1679903	0.071682766
430	0.16799228	0.071750894
431	0.16798684	0.07176514
432	0.16816735	0.071823075
433	0.1680206	0.071758166
434	0.16797698	0.07174705
435	0.1679426	0.07176347
436	0.1681637	0.07154624
437	0.16796249	0.07174142
438	0.16797774	0.07177074
439	0.16797113	0.07175423
440	0.1679632	0.07176088
441	0.16800115	0.07172735
442	0.16805889	0.07170157
443	0.16793759	0.07175781
444	0.16792445	0.071776405
445	0.16794825	0.07177518
446	0.1679818	0.071750805
447	0.1680145	0.071770385
448	0.16794795	0.071774825
449	0.16795723	0.07176767
450	0.16796695	0.071750745
451	0.1681371	0.071767166
452	0.16800319	0.07177611
453	0.16792282	0.07183103
454	0.16798364	0.07172187
455	0.16807401	0.07173796
456	0.1680403	0.07178722
457	0.1680152	0.071709886
