	log_likelihood
876	-2629.4072
877	-2634.9058
878	-2623.8208
879	-2631.9646
880	-2644.7112
881	-2670.3293
882	-2659.811
883	-2661.0935
884	-2618.409
885	-2642.4055
886	-2617.1453
887	-2619.561
888	-2680.9663
889	-2602.311
890	-2627.6816
891	-2679.762
892	-2672.3145
893	-2648.2263
894	-2692.609
895	-2640.2976
896	-2608.8696
897	-2623.781
898	-2656.1074
899	-2670.0647
900	-2629.511
901	-2632.5337
902	-2629.618
903	-2612.105
904	-2638.713
905	-2630.2183
906	-2633.775
907	-2617.2927
908	-2646.1362
909	-2633.3713
910	-2655.3792
911	-2630.3677
912	-2669.9739
913	-2654.9534
914	-2642.1401
915	-2615.0244
916	-2617.1348
917	-2706.1284
918	-2625.2566
919	-2641.3494
920	-2650.2815
921	-2639.282
922	-2654.2937
923	-2643.1765
924	-2641.6096
925	-2616.1812
926	-2623.64
927	-2620.8645
928	-2615.746
929	-2682.5457
930	-2674.783
931	-2676.449
932	-2631.6135
933	-2634.626
934	-2658.286
935	-2647.9849
936	-2662.2644
937	-2628.6934
938	-2608.9624
939	-2664.9968
940	-2654.6301
941	-2617.8562
942	-2607.4136
943	-2617.9302
944	-2658.443
945	-2617.5154
946	-2662.2075
947	-2670.4243
948	-2627.9463
949	-2676.9329
950	-2612.2915
951	-2676.4038
952	-2631.1218
953	-2668.4937
954	-2645.5742
955	-2634.9985
956	-2611.44
957	-2602.2114
958	-2613.0808
959	-2654.6743
960	-2643.538
961	-2631.6592
962	-2647.5225
963	-2619.271
964	-2638.3674
965	-2618.5376
966	-2653.8093
967	-2645.368
968	-2609.9426
969	-2590.114
970	-2686.853
971	-2679.3923
972	-2652.6274
973	-2614.6196
974	-2632.2573
975	-2605.7654
976	-2619.7349
977	-2607.9019
978	-2640.3882
979	-2645.1973
980	-2668.3804
981	-2649.288
982	-2634.3274
983	-2648.9148
984	-2608.4285
985	-2662.773
986	-2608.2622
987	-2688.8347
988	-2629.8555
989	-2624.4714
990	-2616.8276
991	-2644.728
992	-2635.5305
993	-2617.1174
994	-2595.6094
995	-2630.4421
996	-2622.7417
997	-2625.8872
998	-2630.2625
999	-2674.668
1000	-2614.8335
1001	-2609.0193
1002	-2629.679
1003	-2616.052
1004	-2614.6067
1005	-2635.852
1006	-2636.89
1007	-2626.5093
1008	-2621.8
1009	-2620.2007
1010	-2616.6196
1011	-2648.1748
1012	-2609.9658
1013	-2654.1504
1014	-2633.0684
1015	-2610.654
1016	-2674.227
1017	-2639.1597
1018	-2610.2397
1019	-2611.5693
1020	-2618.5754
1021	-2629.9446
1022	-2649.2114
1023	-2606.0388
1024	-2647.6887
1025	-2664.1208
1026	-2652.37
1027	-2641.018
1028	-2632.5867
1029	-2639.2273
1030	-2626.681
1031	-2627.3335
1032	-2657.2698
1033	-2640.5803
1034	-2640.435
1035	-2670.7168
1036	-2612.1377
1037	-2614.6597
1038	-2696.4658
1039	-2611.4033
1040	-2636.0305
1041	-2638.034
1042	-2649.6023
1043	-2606.1753
1044	-2637.56
1045	-2639.5747
1046	-2633.6982
1047	-2635.099
1048	-2634.8916
1049	-2690.302
1050	-2639.9448
1051	-2647.106
1052	-2604.8804
1053	-2643.5935
1054	-2616.4473
1055	-2629.789
1056	-2631.5183
1057	-2658.225
1058	-2643.6343
1059	-2661.1387
1060	-2626.173
1061	-2657.9788
1062	-2641.912
1063	-2612.8403
1064	-2632.2402
1065	-2598.8896
1066	-2687.7957
1067	-2663.084
1068	-2624.3796
1069	-2650.9395
1070	-2673.438
1071	-2619.2878
1072	-2659.0742
1073	-2606.3167
1074	-2618.1633
1075	-2609.4746
1076	-2636.233
1077	-2622.9238
1078	-2688.0598
1079	-2628.8733
1080	-2634.0012
1081	-2624.0637
1082	-2651.9734
1083	-2679.3306
1084	-2723.8687
1085	-2623.2332
1086	-2639.333
1087	-2596.9478
1088	-2609.0476
1089	-2657.2983
1090	-2622.898
1091	-2618.3726
1092	-2621.848
1093	-2672.3447
1094	-2617.0896
1095	-2626.3022
1096	-2607.7922
1097	-2634.343
1098	-2661.2297
1099	-2625.1594
1100	-2645.325
1101	-2634.2842
1102	-2708.914
1103	-2606.2031
1104	-2641.5952
1105	-2639.985
1106	-2609.439
1107	-2661.1277
1108	-2631.3372
1109	-2624.3892
1110	-2616.3853
1111	-2664.3313
1112	-2617.1333
1113	-2615.0854
1114	-2703.0864
1115	-2630.9
1116	-2704.4333
1117	-2692.817
1118	-2613.2253
1119	-2643.5693
1120	-2606.404
1121	-2660.5874
1122	-2622.3318
1123	-2671.2222
1124	-2618.8967
1125	-2630.9146
1126	-2585.802
1127	-2597.4226
1128	-2619.4893
1129	-2613.8894
1130	-2626.3003
1131	-2634.184
1132	-2637.6333
1133	-2634.0032
1134	-2686.9414
1135	-2608.1199
1136	-2649.0117
1137	-2609.344
1138	-2675.183
1139	-2614.2043
1140	-2614.3315
1141	-2675.2651
1142	-2652.4683
1143	-2661.8245
1144	-2613.129
1145	-2607.9946
1146	-2608.9924
1147	-2640.2097
1148	-2617.5967
1149	-2613.186
1150	-2621.3328
1151	-2686.3455
1152	-2647.9407
1153	-2639.1199
1154	-2610.3774
1155	-2637.0823
1156	-2616.4731
1157	-2650.4324
1158	-2595.4556
1159	-2604.3174
1160	-2704.5032
1161	-2600.6777
1162	-2696.3145
1163	-2636.1204
1164	-2644.865
1165	-2598.7368
1166	-2615.3079
1167	-2653.9514
1168	-2639.373
1169	-2676.328
1170	-2651.832
1171	-2635.3872
1172	-2627.934
1173	-2651.4978
1174	-2681.6829
1175	-2647.4321
1176	-2647.5144
1177	-2609.0576
1178	-2659.1765
1179	-2651.1023
1180	-2630.548
1181	-2630.355
1182	-2604.1453
1183	-2702.276
1184	-2623.2585
1185	-2618.0398
1186	-2615.4998
1187	-2686.164
1188	-2628.7493
1189	-2639.411
1190	-2629.4695
1191	-2602.1057
1192	-2624.1453
1193	-2589.4175
1194	-2608.1226
1195	-2645.9004
1196	-2629.4739
1197	-2641.642
1198	-2629.6736
1199	-2637.576
1200	-2633.4058
1201	-2655.8464
1202	-2732.1047
1203	-2618.4153
1204	-2624.0818
1205	-2638.454
1206	-2650.69
1207	-2679.877
1208	-2625.0063
1209	-2612.6042
1210	-2652.1418
1211	-2663.2773
1212	-2649.842
1213	-2602.463
1214	-2611.9597
1215	-2627.353
1216	-2677.144
1217	-2632.1013
1218	-2663.6987
1219	-2673.753
1220	-2624.3496
1221	-2674.498
1222	-2637.4277
1223	-2671.0344
1224	-2621.4397
1225	-2621.5168
1226	-2632.9265
1227	-2607.7368
1228	-2666.3079
1229	-2628.858
1230	-2627.0552
1231	-2638.4058
1232	-2634.9795
1233	-2599.8655
1234	-2641.2422
1235	-2617.7844
1236	-2660.4177
1237	-2629.002
1238	-2657.2793
1239	-2660.1504
1240	-2639.452
1241	-2656.9497
1242	-2683.3335
1243	-2638.0994
1244	-2647.5957
1245	-2621.65
1246	-2651.273
1247	-2608.4197
1248	-2625.3025
1249	-2614.7075
1250	-2696.7612
1251	-2636.189
1252	-2610.1387
1253	-2640.0066
1254	-2611.3884
1255	-2632.9724
1256	-2637.5835
1257	-2613.7349
1258	-2592.1567
1259	-2668.525
1260	-2649.281
1261	-2643.6094
1262	-2639.1538
1263	-2690.169
1264	-2624.3774
1265	-2623.7034
1266	-2644.56
1267	-2676.7212
1268	-2621.8442
1269	-2664.8706
1270	-2648.5605
1271	-2642.4507
1272	-2619.108
