	log_likelihood
1363	-2640.0845
1364	-2672.7593
1365	-2630.2625
1366	-2637.8892
1367	-2634.9766
1368	-2614.3782
1369	-2630.3674
1370	-2624.092
1371	-2731.23
1372	-2614.8813
1373	-2645.5298
1374	-2657.9102
1375	-2626.3442
1376	-2620.5159
1377	-2666.1843
1378	-2648.0513
1379	-2618.8188
1380	-2599.8132
1381	-2624.9097
1382	-2705.8398
1383	-2677.865
1384	-2665.3
1385	-2645.0007
1386	-2634.8315
1387	-2679.9458
1388	-2670.383
1389	-2701.6504
1390	-2660.2607
1391	-2670.5286
1392	-2652.646
1393	-2625.524
1394	-2653.3062
1395	-2663.79
1396	-2646.5098
1397	-2623.0828
1398	-2619.9883
1399	-2647.6028
1400	-2646.622
1401	-2640.0664
1402	-2630.3992
1403	-2644.7817
1404	-2592.6316
1405	-2656.2861
1406	-2611.6367
1407	-2634.9702
1408	-2689.839
1409	-2649.9895
1410	-2634.9004
1411	-2661.329
1412	-2679.6924
1413	-2608.504
1414	-2653.0698
1415	-2650.1848
1416	-2620.7573
1417	-2610.3545
1418	-2629.9116
1419	-2655.47
1420	-2664.2083
1421	-2657.1418
1422	-2671.157
1423	-2614.5981
1424	-2639.646
1425	-2630.9636
1426	-2632.8247
1427	-2648.2876
1428	-2646.2625
1429	-2643.3596
1430	-2650.4275
1431	-2624.5427
1432	-2660.0
1433	-2612.5874
1434	-2651.2827
1435	-2630.147
1436	-2638.7297
1437	-2642.571
1438	-2694.7603
1439	-2635.623
1440	-2641.6428
1441	-2650.9858
1442	-2632.0176
1443	-2618.783
1444	-2692.2563
1445	-2637.896
1446	-2602.0317
1447	-2616.5483
1448	-2670.5676
1449	-2698.4126
1450	-2601.032
1451	-2623.9785
1452	-2642.5078
1453	-2635.8716
1454	-2622.7493
1455	-2663.8694
1456	-2710.4722
1457	-2628.8796
1458	-2636.039
1459	-2649.0132
1460	-2625.6538
1461	-2696.7925
1462	-2700.2952
1463	-2626.9937
1464	-2644.5044
1465	-2622.319
1466	-2629.3113
1467	-2622.9253
1468	-2631.2712
1469	-2667.4365
1470	-2647.7114
1471	-2657.0522
1472	-2623.834
1473	-2620.741
1474	-2625.005
1475	-2615.9507
1476	-2630.4011
1477	-2621.3936
1478	-2727.2358
1479	-2625.1304
1480	-2644.345
1481	-2608.6145
1482	-2633.7944
1483	-2648.3542
1484	-2646.1099
1485	-2673.4326
1486	-2673.6921
1487	-2611.5247
1488	-2607.9192
1489	-2615.923
1490	-2664.7556
1491	-2627.4053
1492	-2593.1934
